Price,Date,Open,High,Low,Close,Volume
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
0,2015-01-01,190.41491353533632,191.63950954902654,189.845568461702,190.75865173339844,2963643
1,2015-01-02,190.8016160069897,192.50962251793305,189.98522345788643,190.25376892089844,7331366
2,2015-01-05,190.13559455282044,191.4031720671145,187.79380658453923,188.16978454589844,10103941
3,2015-01-06,186.913006243564,187.55752979610384,178.74897909801405,179.6298370361328,18627980
4,2015-01-07,179.8446615155936,184.50673986815283,179.82317787836487,183.53994750976562,20720312
5,2015-01-08,184.7860392544377,185.38760981933532,180.499938614216,180.90814208984375,19872227
6,2015-01-09,182.27237020853457,185.1942309260531,181.5419121999284,184.82899475097656,13392787
7,2015-01-12,184.87195976307154,184.97937793975618,180.81143795202678,182.68055725097656,10100113
8,2015-01-13,183.26063520719148,183.67958045029044,180.57510900232717,181.14443969726562,9948711
9,2015-01-14,181.1122427163197,181.97161697359866,178.57710156474025,179.3827667236328,11380041
10,2015-01-15,180.4677317593458,187.14933050395325,180.4677317593458,185.6776580810547,16927085
11,2015-01-16,184.76454150472705,187.9871874448055,183.05654933898364,186.84852600097656,19136963
12,2015-01-19,186.95594498380785,190.35044569278608,184.49599682964757,188.9862060546875,13339962
13,2015-01-20,189.3836664511058,194.5506245523316,188.8143213889163,194.01351928710938,13361320
14,2015-01-21,194.4324774905124,195.80745902973376,191.650260271409,194.80844116210938,17084297
15,2015-01-22,194.46469287821117,194.90512178368016,188.95398216285272,189.8670654296875,23721627
16,2015-01-23,191.20979974578566,192.88556628691242,188.4168555105744,190.54379272460938,18080494
17,2015-01-27,191.8328410762949,192.64924788952402,189.1687986281166,191.00570678710938,17939876
18,2015-01-28,190.37191166381163,195.4636909378675,190.37191166381163,194.82989501953125,19298126
19,2015-01-29,194.88362697855865,200.77031578345762,194.84065970332992,199.67462158203125,36117653
20,2015-01-30,199.80350482216096,200.07206460890632,195.29181226889602,196.63458251953125,21746801
21,2015-02-02,196.80645669670614,197.63360537241437,194.58284298673587,195.0877227783203,19302710
22,2015-02-03,196.1941749164506,202.1345729067884,196.1941749164506,201.43634033203125,17092333
23,2015-02-04,201.7585718954326,202.76833144679932,198.92266030233512,199.5457000732422,14072894
24,2015-02-05,201.09255570161727,201.93043178934394,197.13945221804084,198.4499969482422,12365643
25,2015-02-06,198.53596158791174,199.8035248997183,194.00278494350778,195.48519897460938,9045844
26,2015-02-09,193.6160691364033,197.22542074823264,191.6395170539531,192.64927673339844,8839692
27,2015-02-10,192.9285867818898,194.32505201017327,185.04386174660092,189.49110412597656,13651008
28,2015-02-11,190.35044150157634,194.37875244055547,189.70591806162014,193.50863647460938,9781008
29,2015-02-12,195.0769738375758,196.35527882621918,190.61899042077323,195.32403564453125,8709626
30,2015-02-13,196.36604021920814,197.82697059582725,195.30257147842423,197.1179962158203,7393680
31,2015-02-16,197.37579264096996,198.55743568645534,193.35823783772207,193.95980834960938,12266698
32,2015-02-18,193.35822844773523,195.07697666986644,192.15511616548005,193.7127227783203,9835036
33,2015-02-19,194.85141781009534,194.99107580781003,190.68347703212814,193.79869079589844,9550637
34,2015-02-20,192.33776533792224,192.49890697927518,187.19229014868677,187.57901000976562,18717199
35,2015-02-23,186.9022302967103,188.36316059951704,181.9930759538745,182.92764282226562,14104463
36,2015-02-24,183.5291968036563,184.07704386800637,179.8231691703362,180.77920532226562,19946218
37,2015-02-25,182.35830815460838,184.01259114948112,180.69326900020104,181.14443969726562,15274116
38,2015-02-26,181.77824342616597,182.61613401435184,179.73724039372917,180.89739990234375,21459750
39,2015-02-27,182.08976810809224,184.97940350961986,181.455986436499,183.80850219726562,18659378
40,2015-03-02,186.69815970454607,188.09463938446834,183.80852396087488,185.6776580810547,14579511
41,2015-03-03,186.69813831887254,194.74399036050008,186.35440010464066,193.53013610839844,20636925
42,2015-03-04,194.64728888428257,195.43147026745928,189.0721276842079,190.74789428710938,14476047
43,2015-03-05,191.74693564332566,193.08970605952092,188.66394750303564,190.1248779296875,10716702
44,2015-03-09,190.15707530851867,191.58578006681094,185.65612468271618,186.83775329589844,14065391
45,2015-03-10,186.68739359284336,188.15906582425177,183.77627458710901,184.58193969726562,15234060
46,2015-03-11,184.96863488120786,186.82701235002207,183.13172670604092,183.89442443847656,11635873
47,2015-03-12,184.33485309431416,186.35437216635032,183.81921716717525,185.5809326171875,11782380
