Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2023-01-02,144.10763549804688,144.40918053766185,142.73390002098364,143.77257939471124,5959394
2023-01-03,144.47618103027344,144.87824560531558,143.63854081832443,144.2416444976211,2873110
2023-01-04,141.42718505859375,144.34217039767918,141.0586178957404,144.34217039767918,9954542
2023-01-05,139.91941833496094,141.99676321331023,138.44516346743168,141.99676321331023,21273509
2023-01-06,139.45034790039062,140.9246029395755,139.08179436569526,139.48385896421192,11510471
2023-01-09,140.12046813964844,142.0302853171588,136.87042646795976,140.18747663766362,52485126
2023-01-10,141.9297637939453,142.36532579992598,140.05344425484762,140.65654793766237,17248326
2023-01-11,142.0302734375,142.76740775441775,140.79056861076984,142.19780148525996,9164361
2023-01-12,143.06895446777344,143.3370020740319,141.66172157675115,143.1024655311061,21179555
2023-01-13,143.40403747558594,144.30868638717246,142.9349643017174,143.13598981903098,6560245
2023-01-16,144.5096893310547,144.6772173702436,142.5328502885454,144.07411370247016,8362194
2023-01-17,146.35252380371094,146.55354930642756,144.0071308377331,144.50971504472835,13000571
2023-01-18,146.98912048339844,147.52521574106254,145.01229478351596,146.28551079536663,11171369
2023-01-19,147.92726135253906,148.26231743714277,146.52002852389685,146.62054807597139,11586815
2023-01-20,149.60255432128906,150.03812999449485,148.0948018141316,148.0948018141316,10112645
2023-01-23,150.84225463867188,152.9866218750349,149.80358890086572,150.10513393976834,14393610
2023-01-24,148.061279296875,151.84741580423815,147.75973427215538,151.6128792701821,6150893
2023-01-25,147.0226287841797,148.26233370655777,145.95045192248696,147.89376651966256,5790331
2023-01-27,146.92210388183594,148.39634530890504,145.4143513904602,146.9556149461426,10458603
2023-01-30,141.96328735351562,146.65407343121902,141.09214954773816,146.0844807056204,24288177
2023-01-31,145.17982482910156,147.55871518797034,142.1643196388831,142.46586470451734,20997546
2023-02-01,145.11279296875,150.77523523877508,143.13595392665047,150.77523523877508,20246369
2023-02-02,142.53286743164062,145.48136400268842,141.62821863790748,144.7442432682936,12820663
2023-02-03,143.97360229492188,144.17464140670535,140.99160848209436,142.86791444704772,10815686
2023-02-06,145.4478759765625,145.64890148068713,142.7674268538134,143.03546085931288,6948201
2023-02-07,145.31382751464844,146.21847625590885,144.14113116730073,146.08445926959902,10035526
2023-02-08,145.4167022705078,146.2741120716311,144.3535085350199,145.9997381442241,12432719
2023-02-09,145.999755859375,146.75427378486677,145.41671991491495,145.41671991491495,7011082
2023-02-10,146.85716247558594,147.09723445260596,145.3138246808642,145.34812665839806,10892159
2023-02-13,148.16043090820312,148.5033948686388,146.7885750664605,146.85716506749978,7710133
2023-02-14,147.4744873046875,148.8806449750366,145.93114964684773,148.8806449750366,6010681
2023-02-15,147.13153076171875,147.61167469726067,146.10263893821022,146.27412090879497,8107497
2023-02-16,147.20013427734375,148.7777741337048,146.7885803011921,148.7777741337048,3963115
2023-02-17,146.65138244628906,148.09182816513297,146.10263457471135,146.78856243656443,6491149
2023-02-20,148.0232391357422,148.8463469932409,146.9257433854264,147.88604518933363,6841917
2023-02-21,148.98353576660156,150.04672960417818,148.1947298380165,149.22362169815943,6701434
2023-02-22,147.23443603515625,149.0521478786006,146.10265213601244,148.16043596891402,9128659
2023-02-23,146.27413940429688,148.0918513133819,145.82828343335296,147.47451335017035,10345874
2023-02-24,147.50880432128906,147.74887630149775,145.6910925478703,145.6910925478703,9808830
2023-02-27,150.35537719726562,150.86982307812565,147.1658239001235,148.46907563411216,17763618
2023-02-28,152.44747924804688,152.96192518476695,150.04673154335322,151.3156953962149,36559278
2023-03-01,150.14962768554688,152.44748347557055,149.12073578357453,151.9673395034126,12896085
2023-03-02,151.14419555664062,151.5900514401592,148.02323228248574,149.5322679364466,79708558
2023-03-03,152.3446044921875,154.64246047826154,151.17853248589344,151.17853248589344,9951869
2023-03-06,155.8085174560547,156.9403012252985,152.96191402287727,153.6478418884507,15659957
2023-03-08,156.42587280273438,156.6316428122531,154.81393097435273,155.67134090211331,11591495
2023-03-09,154.88253784179688,158.0720916687812,154.6767538731734,157.07750171599426,13941653
2023-03-10,155.39698791503906,156.49446988114263,152.44749204809784,152.44749204809784,9605434
2023-03-13,155.08831787109375,157.79774184182986,154.6081738536169,156.42588584304931,13209653
2023-03-14,154.47096252441406,156.2200843084263,153.64785459972555,154.43667450144164,9583405
2023-03-15,156.59735107421875,157.7977249446139,154.813927302583,155.43126522697696,12228069
2023-03-16,159.23818969726562,159.75263570277784,156.6316576872406,157.38617570427698,18437817
2023-03-17,157.55763244628906,160.50712798712232,156.5973445541469,160.47282601015775,33711025
2023-03-20,156.04859924316406,157.35186506085807,154.53956342598514,154.53956342598514,9281411
2023-03-21,153.0648193359375,156.1857830231983,152.58466141503936,155.87712103888043,11272787
2023-03-22,153.71646118164062,154.12801518837745,151.45290716696775,152.96194317674966,7589846
2023-03-23,152.37889099121094,153.99081882033136,151.7615530690348,153.6478548585934,17091298
2023-03-24,152.5503692626953,153.81933309922192,151.45288740286796,152.9619232157257,10371666
2023-03-27,150.97274780273438,155.19120773213675,150.59549578139183,152.89335175676428,19983733
2023-03-28,152.3446044921875,153.0305324853583,150.0124465243586,151.76156848904046,8689166
2023-03-29,152.58465576171875,153.44206563665588,151.28140391600536,152.34458378778413,19743258
2023-03-31,154.81394958496094,155.53417959295652,152.96194950045998,153.64787752512572,10202058
2023-04-03,154.0594024658203,155.94570417755847,153.54495654443718,155.94570417755847,7643214
2023-04-05,154.77964782714844,155.4312738106819,153.44207992455435,155.4312738106819,12019382
2023-04-06,154.50526428222656,155.98001210415916,154.09371032046937,155.84281814674722,4282875
2023-04-10,157.11180114746094,157.35187313680103,154.33378739230358,154.47096739900084,4145643
2023-04-11,158.6894073486328,159.13526324791812,156.70021376698622,157.00888967660129,5106602
2023-04-12,155.91140747070312,158.82660086281302,155.73992550646136,158.7237088932204,9118795
2023-04-13,158.58651733398438,158.89519324740513,155.70562587348653,155.911409815767,11428621
2023-04-17,162.32485961914062,164.55412555909965,159.3410756905513,159.54684571186473,21815047
2023-04-18,157.96920776367188,162.90788327453026,157.52335181839896,162.49632930783199,13482833
2023-04-19,157.7291259765625,158.72372987377707,156.83742801778095,157.07750000840522,8264190
2023-04-20,158.38075256347656,159.7526083432291,157.52334270113124,158.3464505868873,7308750
2023-04-21,158.82662963867188,159.37536365052114,157.48906170210574,158.99811163398238,5030650
2023-04-24,159.10096740722656,159.34105333126334,157.7291116366784,158.4493414983116,5725067
2023-04-25,159.75259399414062,160.4385218224064,158.20925638054268,158.65511225996292,8338703
2023-04-26,163.45663452148438,164.2797424716053,159.1352828952502,160.54144076154984,13581018
2023-04-27,161.84469604492188,163.45663790978563,160.1641781305729,163.2508539403698,9794457
2023-04-28,162.73638916015625,163.21653309296968,159.8897856735779,162.53060521452855,10585487
2023-05-02,164.6912841796875,165.411514048827,163.4223203697529,163.7309823392477,6732907
2023-05-03,164.4169158935547,165.99455568255064,163.7995919333068,164.62269985046345,4789217
2023-05-04,163.8338623046875,165.1028260216036,161.15874092928422,164.38261016049657,9189783
2023-05-05,165.34292602539062,165.65158799857193,163.3880203444462,163.79958824900643,3896441
2023-05-08,167.880859375,168.90975126085291,165.37721966171006,165.8916656046365,8758321
2023-05-09,166.95486450195312,169.35561230798504,166.47470656760288,167.40072045697843,9166941
2023-05-10,169.8700408935547,170.0758108827406,167.77795529444887,168.1552212074805,9689409
2023-05-11,170.4873809814453,170.93322294141294,169.1498132358269,169.90433111643193,12616726
2023-05-12,165.82305908203125,171.2075899571427,165.41150515974184,170.69314406547144,13853807
