Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2000-01-03,80.98096466064453,80.98096466064453,80.9799271053285,80.9799271053285,657536
2000-01-04,87.35934448242188,87.45962801233233,84.23468298747797,87.06962863407554,7191808
2000-01-05,80.3707046508789,84.21912913649463,80.3707046508789,81.3738182505909,21069440
2000-01-06,73.94102478027344,79.2955494810002,73.94102478027344,79.070880781969,10495616
2000-01-07,68.02571868896484,68.02571868896484,68.02571868896484,68.02571868896484,971392
2000-01-10,71.3001708984375,73.46758353164779,62.583880987366435,68.02573225950711,30230400
2000-01-11,65.59632873535156,71.52146771863642,65.59632873535156,68.41183868739135,15658368
2000-01-12,67.77721405029297,69.18406305996713,60.97982515271355,61.9334447199496,25993472
2000-01-13,62.662139892578125,68.14752816796833,62.35506398992757,67.8935751007974,20038400
2000-01-14,63.106842041015625,63.73187573364091,58.061982909976344,63.48310529896459,16040064
2000-01-17,61.52350997924805,66.77930064249102,60.74143605199804,63.22913991760889,18092928
2000-01-18,61.859092712402344,63.068477592849995,58.694264831870015,60.843538393856775,20290944
2000-01-19,66.8044204711914,66.80779126061871,64.36932372343078,65.02234584816124,19994752
2000-01-20,66.0643310546875,70.23097609557175,65.35922363967643,68.41184299767892,19778560
2000-01-21,69.55306243896484,70.43308630192323,64.79947594061413,66.85701348747679,20786048
2000-01-24,71.92989349365234,75.09238849871825,70.48495297001644,70.48495297001644,25256320
2000-01-25,73.12501525878906,73.8537031049259,69.4486526222183,71.52148090161245,20469632
2000-01-26,73.12501525878906,73.12501525878906,73.12501525878906,73.12501525878906,0
2000-01-27,76.60830688476562,78.77727325700621,75.59508603465083,78.46631033625488,12953792
2000-01-28,78.89700317382812,79.80346224118824,76.97369926004208,76.97369926004208,17281536
2000-01-31,74.85604095458984,78.19681760369578,73.8744325373197,78.10871143327805,7598272
2000-02-01,76.88457489013672,77.22248907606132,74.11285864346824,75.14940212099927,7055424
